task,agreements,categories,answers,coverage_pct
General Antitrust Efforts Standard,98,Operating and Efforts Covenant,"Commercially reasonable efforts,Flat standard,Reasonable best efforts",64.47368421052632
Intervening Event Definition,127,Deal Protection and Related Provisions,"Known, but consequences unknown or not reasonably foreseeable, at signing,May occur or arise prior to signing,Must occur or arise after signing,No,Not known and not reasonably foreseeable at signing,Yes",83.55263157894737
Knowledge Definition,139,Knowledge,"Actual knowledge,Based on investigation or inquiry,Constructive knowledge,No,Yes",91.44736842105263
Limitations on FTR Exercise,126,Deal Protection and Related Provisions,"(Material) breach of other provisions of agreement,Any breach of no-shop,Any breach of no-shop, (Material) breach of other provisions of agreement,Breach of no-shop resulting in a Superior Offer,Breach of no-shop resulting in a Superior Offer, (Material) breach of other provisions of agreement,Material breach of no-shop,Material breach of no-shop resulting in a Superior Offer,Material breach of no-shop resulting in a Superior Offer, (Material) breach of other provisions of agreement,Material breach of no-shop, (Material) breach of other provisions of agreement,Other",82.89473684210526
MAE Definition,152,Material Adverse Effect,"""Arising from/out of"",""Arising from/out of"", ""Relating to"",""Relating to"",""Resulting from"",""Resulting from"", ""Arising from/out of"",""Resulting from"", ""Arising from/out of"", ""Attributable to"",""Resulting from"", ""Arising from/out of"", ""Relating to"",""Resulting from"", ""Arising from/out of"", ""Relating to"", ""Attributable to"",""Resulting from"", ""Arising from/out of"", ""Relating to"", Other,""Resulting from"", ""Arising from/out of"", ""Relating to"", Relational language varies among carveouts,""Resulting from"", ""Arising from/out of"", Relational language varies among carveouts,""Resulting from"", ""Attributable to"",""Resulting from"", ""Relating to"",""Resulting from"", Other,All MAE carveouts,No,Some MAE carveouts",100.0
Negative interim operating covenant,145,Operating and Efforts Covenant,"Applies to all negative covenants,Consent may not be unreasonably withheld, conditioned or delayed,Flat consent,No,Yes",95.39473684210526
No-Shop,134,Deal Protection and Related Provisions,"No,Reasonable standard,Strict liability,Yes",88.15789473684211
Ordinary course covenant,151,Operating and Efforts Covenant,"Commercially reasonable efforts,Consent may not be unreasonably withheld, conditioned or delayed,Flat consent,Flat covenant (no efforts standard),No,Reasonable best efforts,Yes",99.34210526315789
Specific Performance,96,Remedies,"""entitled to seek"" specific performance,""entitled to"" specific performance",63.1578947368421
Superior Offer Definition,139,Deal Protection and Related Provisions,"""All or substantially all"",50%,Greater than 50% but not ""all or substantially all"",Less than 50%,No,Yes",91.44736842105263
Tail Period & Acquisition Proposal Details,152,Deal Protection and Related Provisions,"12 months or longer,No,Yes,within 12 months,within 9 months,“Publicly disclosed” requirement applies to Acquisition Proposal + Breach Trigger,“Publicly disclosed” requirement applies to Acquisition Proposal + Breach Trigger, “Publicly disclosed” requirement applies to Acquisition Proposal + No-Vote / MTC Failure Trigger,“Publicly disclosed” requirement applies to Acquisition Proposal + Breach Trigger, “Publicly disclosed” requirement applies to Acquisition Proposal + No-Vote / MTC Failure Trigger, “Publicly disclosed” requirement applies to Acquisition Proposal + Outside Date Trigger,“Publicly disclosed” requirement applies to Acquisition Proposal + Breach Trigger, “Publicly disclosed” requirement applies to Acquisition Proposal + Outside Date Trigger,“Publicly disclosed” requirement applies to Acquisition Proposal + No-Vote / MTC Failure Trigger,“Publicly disclosed” requirement applies to Acquisition Proposal + No-Vote / MTC Failure Trigger, “Publicly disclosed” requirement applies to Acquisition Proposal + Outside Date Trigger",100.0
Type of Consideration,95,General Information,"All Cash,All Stock,Mixed Cash/Stock,Mixed Cash/Stock: Election",62.5
